"code","parent_code","name","comment","section_id","native_code"
"010000","000000","Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях","Эта группировка включает:
- два основных вида деятельности, а именно: производство продукции растениеводства и производство продукции животноводства, охватывая также формы органического сельского хозяйства, выращивание и разведение генетически-модифицированных культур и животных

Эта группировка также включает:
- деятельность, второстепенную по отношению к сельскому хозяйству, а также охоту, ловлю животных и предоставление услуг в этих областях","1","01"
"011000","010000","Выращивание однолетних культур","Эта группировка включает:
- выращивание однолетних культур, т. е. растений, вегетативный период которых состоит не более чем из двух сезонов
Выращивание данных культур включено также для целей семеноводства","1","01.1"
"011100","011000","Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур","Эта группировка включает:
- все формы выращивания зерновых, зернобобовых культур и семян масличных культур в открытом грунте
Выращивание этих культур часто комбинируется в тех или иных сельскохозяйственных подразделениях.

Эта группировка также включает:
- выращивание зерновых культур, таких как: пшеница, кукуруза, сорго, ячмень, рожь, овес, просо, гречиха и прочие зерновые культуры, не включенные в другие группировки;
- выращивание зернобобовых культур, таких как: горох, люпин, чечевица, бобы, конские бобы, нут (бараний горох), вигна, вика и прочие зернобобовые культуры;
- выращивание семян масличных культур, таких как: подсолнечник, соевые бобы, рапс, лен масличный, арахис (земляной орех), клещевина обыкновенная, горчица, масличная нуга, сафлор, кунжут и прочих масличных культур

Эта группировка не включает:
- выращивание сахарной кукурузы, см. 01.13;
- выращивание кормовой кукурузы, см. 01.19;
- выращивание плодов масличных культур, см. 01.26","1","01.11"
"011110","011100","Выращивание зерновых культур",,"1","01.11.1"
"011111","011110","Выращивание пшеницы",,"1","01.11.11"
"011112","011110","Выращивание ячменя",,"1","01.11.12"
"011113","011110","Выращивание ржи",,"1","01.11.13"
"011114","011110","Выращивание кукурузы",,"1","01.11.14"
"011115","011110","Выращивание овса",,"1","01.11.15"
"011116","011110","Выращивание гречихи",,"1","01.11.16"
"011119","011110","Выращивание прочих зерновых культур",,"1","01.11.19"
"011120","011100","Выращивание зернобобовых культур",,"1","01.11.2"
"011130","011100","Выращивание семян масличных культур",,"1","01.11.3"
"011131","011130","Выращивание семян подсолнечника",,"1","01.11.31"
"011132","011130","Выращивание семян рапса",,"1","01.11.32"
"011133","011130","Выращивание семян соевых бобов",,"1","01.11.33"
"011139","011130","Выращивание семян прочих масличных культур",,"1","01.11.39"
"011200","011000","Выращивание риса",,"1","01.12"
